role,full_name,login,password
Администратор,Никифорова Весения Николаевна,94d5ous@gmail.com,uzWC67
Администратор,Сазонов Руслан Германович,uth4iz@mail.com,2L6KZG
Администратор,Одинцов Серафим Артёмович,5d4zbu@tutanota.com,rwVDh9
Менеджер,Ситдикова Елена Анатольевна,ptec8ym@yahoo.com,LdNyos
Менеджер,Ворсин Петр Евгеньевич,1qz4kw@mail.com,gynQMT
Менеджер,Старикова Елена Павловна,4np6se@mail.com,AtnDjr
Авторизированный клиент,Никифорова Анна Семеновна,yzls62@outlook.com,JlFRCZ
Авторизированный клиент,Стелина Евгения Петровна,1diph5e@tutanota.com,8ntwUp
Авторизированный клиент,Михайлюк Анна Вячеславовна,tjde7c@yahoo.com,YOyhfR
Авторизированный клиент,Степанов Михаил Артёмович,wpmrc3do@tutanota.com,RSbvHv
,,,
,,,
,,,
,,,
,,,
